questionId,cardId,category,difficulty,question,choice0,choice1,choice2,choice3,answerIndex,explanation,cardTitle,cardShortText,cardDetailText,cardRarity,imageAsset,imageReviewStatus,imageReviewedAt,imageReviewNote,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote,contentHash
q_geo_001,card_geo_001,nature_geography,easy,世界でいちばん深い湖は？,バイカル湖,琵琶湖,カスピ海,スペリオル湖,0,"バイカル湖の最大深度は約1,642m。湖の中でいちばん深い湖として知られているよ。",バイカル湖,世界で最も深い湖。ロシアにあり、透明度の高さでも有名。,"バイカル湖はロシアのシベリアにある湖で、最大深度は約1,642m。深さだけでなく透明度の高さや多数の固有種でも知られている。",normal,assets/images/cards/card_geo_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,b29b26060f5112577918cfe26a24bbfa58453bbbd06d34791e7599dd1742cb1a
q_geo_002,card_geo_002,nature_geography,easy,日本でいちばん面積が大きい都道府県は？,北海道,岩手県,福島県,長野県,0,北海道の面積は約8万3千km²。日本の都道府県で断トツの広さだよ。,北海道,日本で最も面積が大きい都道府県。,"北海道の面積は約83,424km²で、2位の岩手県の約2倍。日本の総面積の約22%を占める。",normal,assets/images/cards/card_geo_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,b4cdbc1196aabf3a2eb245b763790cafae75775858251baea09440e1b907158a
q_bio_001,card_bio_001,living_things,easy,カンガルーの赤ちゃんは何と呼ばれている？,ジョーイ,カーフ,カブ,パップ,0,カンガルーの赤ちゃんは「ジョーイ」と呼ばれているよ。生まれた時はわずか2cmほどなんだ。,ジョーイ,カンガルーの赤ちゃんの呼び名。,カンガルーの赤ちゃんは「ジョーイ」と呼ばれる。生まれた時の大きさはわずか2cmほどで、母親の袋の中で育つ。,normal,assets/images/cards/card_bio_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,71a865a84184d4c86237ac584029ddf2edb9011eb364e85d0a42946e105be6aa
q_bio_002,card_bio_002,living_things,normal,2017年、Royal Ontario Museumの実物シロナガスクジラ心臓標本がドイツで受けた保存処理は？,プラスティネーション,凍結乾燥,液浸保存,樹脂製レプリカの作製,0,Royal Ontario Museumの公式発表によると、この実物標本はドイツのグーベンでプラスティネーション処理を受け、2017年5月15日にトロントへ到着した。,保存されたシロナガスクジラの心臓,実物標本はプラスティネーションで保存された。,Royal Ontario Museumの2017年公式発表によると、実物の心臓標本はドイツのグーベンでプラスティネーション処理を受けた。2017年5月15日にトロントへ到着し、5月18日に展示へ設置された。,rare,assets/images/cards/card_bio_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,Blue Whale Heart Arrives at the ROM,Royal Ontario Museum,https://www.rom.on.ca/en/about-us/newsroom/press-releases/blue-whale-heart-arrives-at-the-rom,2026-07-13,primary,approved,,fa048fcdaf21e7dcf8ba1ae027e926bd45d05ebfae8c8a9b1dc6bdda54fa2b00
q_his_001,card_his_001,history,easy,江戸時代、庶民の間で流行った「世界一短い手紙」と呼ばれるものは？,一行書簡,矢立,早桶,五七五,3,俳句は「五・七・五」の17音で詠む世界一短い詩の形式。江戸時代に庶民文化として大きく広がったんだ。,俳句,世界一短い詩の形式。,俳句は「五・七・五」の17音で詠む日本発祥の詩。江戸時代に松尾芭蕉によって芸術として確立され、庶民文化として広まった。,normal,assets/images/cards/card_his_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,ad3415716e1d23944e4791a6d2bebc99fdc6849bc5d5ae6405ee7be3eac245cd
q_his_002,card_his_002,history,normal,奈良の大仏を作るのに使われた主な材料は？,金,銅,鉄,木,1,奈良の大仏（東大寺盧舎那仏像）は主に銅で作られている。約500トンの銅が使われたと言われているよ。,奈良の大仏,約500トンの銅で作られた巨大仏像。,東大寺の盧舎那仏像（奈良の大仏）は高さ約15m。752年の開眼供養には多くの人々が集まった。,rare,assets/images/cards/card_his_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,64edf5b5384be1499fdd4e80f360c1b110acae4b789deb3744a919abd1c96098
q_sci_001,card_sci_001,science,easy,空気の中でいちばん多い成分は？,酸素,二酸化炭素,窒素,アルゴン,2,空気の約78%は窒素。酸素は約21%で2番目。二酸化炭素は約0.04%しかないんだ。,大気の成分,空気の約78%は窒素。,地球の大気は窒素約78%、酸素約21%、アルゴン約0.9%、二酸化炭素約0.04%で構成されている。,normal,assets/images/cards/card_sci_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,7f938dfcf8928f4947bbde79ff0ef99f276c83efda216bda7845e209334cd527
q_sci_002,card_sci_002,science,normal,光の速さは1秒間に地球を何周できる？,約1周,約7.5周,約30周,約100周,1,光は1秒間に約30万km進む。地球1周は約4万kmだから、1秒で約7.5周できる計算になるよ。,光の速さ,1秒で地球を約7.5周。,"光の速度は秒速約299,792km。地球1周が約4万kmなので、1秒で7.5周できる計算になる。",normal,assets/images/cards/card_sci_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,083c740ce433db34990ca8394aad79232472cd47cf677fef7036f53425f927f2
q_food_001,card_food_001,food,easy,日本でいちばん古い調味料と言われているのは？,醤油,味噌,塩,酢,2,塩は日本で最も古くから使われている調味料。縄文時代には海水から作っていたことがわかっているよ。,塩,日本最古の調味料。,塩は日本で最も古い調味料で、縄文時代には海水から作っていた。必須ミネラルの補給源としても重要だった。,normal,assets/images/cards/card_food_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,2cefb2abacc34f01ac5c3afabf787ed83759d27e4001f8aec832cd22575918dd
q_food_002,card_food_002,food,normal,2010年の原著論文が、栽培リンゴの祖先種として同定したのは？,Malus sieversii,Malus sylvestris,Malus baccata,Malus floribunda,0,2010年にNature Geneticsで公表された原著論文は、バラ科の主要分類群と比較した系統再構築により、栽培リンゴの祖先種をMalus sieversiiと同定した。,栽培リンゴの祖先種,2010年の系統解析ではMalus sieversiiと同定された。,2010年にNature Geneticsで公表された原著論文は、栽培リンゴの高品質ドラフトゲノム配列を報告し、バラ科の主要分類群と比較した系統再構築により、その祖先種をMalus sieversiiと同定した。,normal,assets/images/cards/card_food_002.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,The genome of the domesticated apple (Malus × domestica Borkh.),Nature Genetics (Springer Nature),https://www.nature.com/articles/ng.654,2026-07-13,primary,approved,,d5b9b95d4aaf141a64cf5a9567daa5ada1dea72c70d475b8afe9797b9c5c2e79
q_lang_001,card_lang_001,language,easy,「ありがとう」の語源として有力な説は？,「有り難し」が変化した,「愛礼感謝」が変化した,「安里河糖」が変化した,「在り方問う」が変化した,0,「ありがとう」は「有り難し（存在することが難しい→めったにない→貴重だ）」という意味の古語が変化したものと言われているよ。,ありがとうの語源,「有り難し」が変化した言葉。,「ありがとう」の語源は「有り難し」。元々は「存在することが難しい→めったにない→貴重だ」という意味だった。,normal,assets/images/cards/card_lang_001.png,generic_placeholder,2026-07-14,All bundled card images are byte-identical generic placeholders; no claim-specific visual meaning is asserted.,,,,,unverified,pending,,4249b04b90e527531db171e6a2d8ea87c16c8079e643db9f4bf2ccc8bda0643b
