questionId,cardId,category,riskReasons,duplicateQuestionIds,question,answer,explanation,cardTitle,cardDetail
q_geo_001,card_geo_001,nature_geography,numeric|stable_comparison,,世界でいちばん深い湖は？,バイカル湖,"バイカル湖の最大深度は約1,642m。湖の中でいちばん深い湖として知られているよ。",バイカル湖,"バイカル湖はロシアのシベリアにある湖で、最大深度は約1,642m。深さだけでなく透明度の高さや多数の固有種でも知られている。"
q_geo_002,card_geo_002,nature_geography,numeric|stable_comparison,,日本でいちばん面積が大きい都道府県は？,北海道,北海道の面積は約8万3千km²。日本の都道府県で断トツの広さだよ。,北海道,"北海道の面積は約83,424km²で、2位の岩手県の約2倍。日本の総面積の約22%を占める。"
q_bio_001,card_bio_001,living_things,numeric,,カンガルーの赤ちゃんは何と呼ばれている？,ジョーイ,カンガルーの赤ちゃんは「ジョーイ」と呼ばれているよ。生まれた時はわずか2cmほどなんだ。,ジョーイ,カンガルーの赤ちゃんは「ジョーイ」と呼ばれる。生まれた時の大きさはわずか2cmほどで、母親の袋の中で育つ。
q_bio_002,card_bio_002,living_things,numeric|biological_anatomy,,2017年、Royal Ontario Museumの実物シロナガスクジラ心臓標本がドイツで受けた保存処理は？,プラスティネーション,Royal Ontario Museumの公式発表によると、この実物標本はドイツのグーベンでプラスティネーション処理を受け、2017年5月15日にトロントへ到着した。,保存されたシロナガスクジラの心臓,Royal Ontario Museumの2017年公式発表によると、実物の心臓標本はドイツのグーベンでプラスティネーション処理を受けた。2017年5月15日にトロントへ到着し、5月18日に展示へ設置された。
q_his_001,card_his_001,history,numeric|stable_comparison,,江戸時代、庶民の間で流行った「世界一短い手紙」と呼ばれるものは？,五七五,俳句は「五・七・五」の17音で詠む世界一短い詩の形式。江戸時代に庶民文化として大きく広がったんだ。,俳句,俳句は「五・七・五」の17音で詠む日本発祥の詩。江戸時代に松尾芭蕉によって芸術として確立され、庶民文化として広まった。
q_his_002,card_his_002,history,numeric,,奈良の大仏を作るのに使われた主な材料は？,銅,奈良の大仏（東大寺盧舎那仏像）は主に銅で作られている。約500トンの銅が使われたと言われているよ。,奈良の大仏,東大寺の盧舎那仏像（奈良の大仏）は高さ約15m。752年の開眼供養には多くの人々が集まった。
q_sci_001,card_sci_001,science,numeric|stable_comparison,,空気の中でいちばん多い成分は？,窒素,空気の約78%は窒素。酸素は約21%で2番目。二酸化炭素は約0.04%しかないんだ。,大気の成分,地球の大気は窒素約78%、酸素約21%、アルゴン約0.9%、二酸化炭素約0.04%で構成されている。
q_sci_002,card_sci_002,science,numeric,,光の速さは1秒間に地球を何周できる？,約7.5周,光は1秒間に約30万km進む。地球1周は約4万kmだから、1秒で約7.5周できる計算になるよ。,光の速さ,"光の速度は秒速約299,792km。地球1周が約4万kmなので、1秒で7.5周できる計算になる。"
q_food_001,card_food_001,food,stable_comparison,,日本でいちばん古い調味料と言われているのは？,塩,塩は日本で最も古くから使われている調味料。縄文時代には海水から作っていたことがわかっているよ。,塩,塩は日本で最も古い調味料で、縄文時代には海水から作っていた。必須ミネラルの補給源としても重要だった。
q_food_002,card_food_002,food,numeric,,2010年の原著論文が、栽培リンゴの祖先種として同定したのは？,Malus sieversii,2010年にNature Geneticsで公表された原著論文は、バラ科の主要分類群と比較した系統再構築により、栽培リンゴの祖先種をMalus sieversiiと同定した。,栽培リンゴの祖先種,2010年にNature Geneticsで公表された原著論文は、栽培リンゴの高品質ドラフトゲノム配列を報告し、バラ科の主要分類群と比較した系統再構築により、その祖先種をMalus sieversiiと同定した。
q_life_002,card_life_002,daily_life,numeric|stable_comparison,,信号機の色が赤・黄・青の3色なのはなぜ？,光の波長で最も遠くまで届く色だから,赤は波長が長く遠くまで届くため「止まれ」に使われる。青（実際は緑）はその中間。黄色は注意を促す色として選ばれたんだ。,信号機の色,赤は波長が長く遠くまで届くため「止まれ」に採用された。青（実際は緑）はその中間。信号機の3色は光の性質に基づいて選ばれている。
q_geo_003,card_geo_003,nature_geography,numeric|stable_comparison,,世界でいちばん標高が高い山は？,エベレスト,"エベレストの標高は8,848m。世界で最も高い山で、ネパールと中国の国境にあるよ。",エベレスト,エベレストはヒマラヤ山脈にある世界最高峰。ネパールと中国（チベット）の国境に位置する。
q_his_003,card_his_003,history,numeric|currency_history,,日本の紙幣に初めて肖像画が使われたのはいつ？,明治時代,日本で初めて肖像画入りの紙幣は1885年（明治18年）発行の日本銀行券。神功皇后の肖像が使われていたんだ。,紙幣の肖像,日本で初めて肖像画が使われた紙幣は1885年発行の日本銀行券。神功皇后の肖像が描かれていた。
q_sci_003,card_sci_003,science,numeric,,絶対零度は何℃？,-273℃,絶対零度は-273.15℃。これより低い温度は理論上存在しないとされているんだ。,絶対零度,絶対零度は-273.15℃。この温度では原子の動きが理論上停止する。これより低い温度は存在しないとされている。
q_geo_004,card_geo_004,nature_geography,numeric,,2009年、火星を想定した掘削調査で生命検出チップが試験された砂漠は？,アタカマ砂漠,研究チームはチリのアタカマ砂漠で火星を想定した掘削調査を行い、生命検出チップを現地で試験した。この技術は、火星で生命を探すための惑星探査技術として評価された。,火星探査とアタカマ砂漠,2009年、研究チームはチリのアタカマ砂漠で火星を想定した掘削調査を行い、生命検出チップを現地で試験した。検出技術は、火星で生命を探すための惑星探査技術として評価された。
q_bio_004,card_bio_004,living_things,numeric|biological_anatomy,,人間の骨の数は大人で約何本？,約206本,大人の人間の骨は約206本。赤ちゃんの時はもっと多くて約350本あるんだけど、成長するにつれて骨がくっついて減っていくんだ。,人間の骨,人間の骨は大人で約206本。赤ちゃんの時は約350本あるが、成長とともに骨が癒合して減っていく。
q_his_004,card_his_004,history,numeric,,国宝に指定されている日本の城（現存天守）はいくつ？,5つ,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守だ。いずれも江戸時代以前から残る貴重な建造物なんだ。,国宝の城,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守。いずれも江戸時代以前から残る貴重な建造物。
q_sci_004,card_sci_004,science,numeric,,地球の表面の約何%が海で覆われている？,約70%,地球表面の約70%は海。地球は「水の惑星」と呼ばれることもあるんだ。,地球は水の惑星,地球表面の約70%は海で覆われている。このため「水の惑星」とも呼ばれる。生命の存在が確認されている唯一の惑星。
q_life_004,card_life_004,daily_life,numeric,,米国のADA Accessibility Standards 407.3.5で、かご呼びに応答したエレベーターの扉が完全に開いた状態を保つ最低時間は？,3秒,U.S. Access BoardのADA Accessibility Standards 407.3.5は、かご呼びに応答したエレベーターの扉を完全に開いた状態で最低3秒保つと規定している。米国の特定規定であり、すべての国・機種の閉ボタンの挙動を示すものではない。,ADAのエレベーター扉遅延,U.S. Access BoardのADA Accessibility Standards 407.3.5は、かご呼びに応答したエレベーターの扉を完全に開いた状態で最低3秒保つと定めている。この規定だけから、他国や全機種で閉ボタンが無効だとは判断できない。
q_geo_005,card_geo_005,nature_geography,numeric|stable_comparison,,日本でいちばん長い川は？,信濃川,日本最長の川は信濃川。長さは約367kmで、新潟県から長野県を流れているよ。,信濃川,信濃川は新潟県から長野県を流れる日本最長の川。長野県内では千曲川と呼ばれ、新潟県に入って信濃川と呼ばれる。
q_bio_005,card_bio_005,living_things,numeric,,ジャイアントパンダが主に食べるものは？,竹,ジャイアントパンダは、ほぼ竹だけを食べて暮らしている。WWFによると、竹の部位に応じて1日に約12〜38kgを食べる。,パンダと竹,ジャイアントパンダは、ほぼ竹だけを食べて暮らしている。WWFによると、竹の部位に応じて1日に約12〜38kgを食べる。
q_nature_geography_001,card_nature_geography_001,nature_geography,numeric|stable_comparison,,日本で最も高い山、富士山がまたがっている2つの県はどこでしょうか？,静岡県と山梨県,富士山は静岡県と山梨県にまたがる独立峰です。実は山頂の大部分は私有地であり、境界線が明確に引かれていない場所も存在します。,富士山の県境,日本最高峰の富士山は、静岡県と山梨県の両方に属しています。山頂付近は富士山本宮浅間大社の土地とされ、県境未定地となっています。
q_history_001,card_history_001,history,numeric|current_fact,,1889年の完成当時、エッフェル塔は何のイベントのために建設されたでしょうか？,パリ万国博覧会,エッフェル塔は、フランス革命100周年を記念して開催された1889年の第4回パリ万国博覧会の入場門として建設されました。,エッフェル塔の誕生,当初は20年で解体される予定でしたが、無線通信のアンテナとして利用価値が認められたことで、現在まで保存されることになりました。
q_science_001,card_science_001,science,stable_comparison,,宝石のダイヤモンドと同じ炭素のみでできている、身近な筆記用具の材料は何？,黒鉛（グラファイト）,ダイヤモンドと鉛筆の芯の原料である黒鉛は、どちらも炭素原子からなる同素体です。原子の結びつき方が違うだけで成分は同じです。,ダイヤと鉛筆の意外な関係,最も硬いダイヤモンドと、紙にこすると削れるほど柔らかい黒鉛。構成元素はどちらも「炭素」ですが、結晶の構造が大きく異なります。
q_daily_life_001,card_daily_life_001,daily_life,numeric,,2013年に発表された日本の駅ホームの青色灯に関する観察研究で、分析対象となった駅は合計何駅？,71駅,この研究は、ある鉄道会社の2000〜2010年のデータを使い、青色灯を導入した11駅と導入していない60駅、計71駅を比較した。観察研究であり、青色灯が作用する仕組みは調べていない。,駅ホームの青色灯研究,2013年の研究は、ある鉄道会社の2000〜2010年のデータを用い、青色灯を導入した11駅と導入していない60駅を比較した。論文は、単一の鉄道会社のデータに基づくことと、青色灯が作用する仕組みを検討していないことを限界としている。
q_nature_geography_002,card_nature_geography_002,nature_geography,numeric|stable_comparison,,死海は塩分濃度が高いため体が浮くことで有名ですが、主にどこの国にまたがって存在している？,ヨルダンとイスラエル,死海はヨルダンとイスラエルの境界にある塩湖です。海水の約10倍近い塩分濃度があり、浮力が非常に大きいため人間が沈まずに浮くことができます。湖面の標高は海抜マイナス430メートルで、地表で最も低い場所としても知られています。,浮かぶ湖・死海,ヨルダンとイスラエルの境に位置する死海は、非常に高い塩分濃度のせいで魚などの生物が住めないことからその名がつきました。観光客が新聞を読みながら浮かぶ光景が有名です。
q_living_things_002,card_living_things_002,living_things,numeric,,1996年に発表されたキリンの行動睡眠研究で、観察場所として題名に示されているのは？,動物園,ToblerとSchwierinが1996年に発表した論文の題名は「動物園におけるキリンの行動睡眠」で、観察場所として動物園が示されている。,動物園で調べたキリンの睡眠,ToblerとSchwierinは、動物園におけるキリンの行動睡眠を報告した。論文は1996年にJournal of Sleep Researchへ掲載された。
q_food_006,card_food_006,food,numeric,,軽食の定番「サンドイッチ」の名前の由来となった、18世紀のイギリスの人物が持つ爵位は何？,伯爵,「sandwich」という料理名は、第4代サンドイッチ伯爵ジョン・モンタギューの爵位名に由来します。料理名は個人名ではなく、爵位名の「Sandwich」から広まりました。,サンドイッチ伯爵と料理名,「sandwich」という料理名は、第4代サンドイッチ伯爵ジョン・モンタギューの爵位名に由来する。料理名は個人名ではなく、爵位名の「Sandwich」から広まった。
q_nature_geography_006,card_nature_geography_006,nature_geography,numeric|dynamic_ranking,,日本で一番面積が小さい都道府県はどこ？,香川県,日本の都道府県で最も面積が小さいのは香川県です。かつては大阪府が最下位でしたが、関西国際空港の開拓などにより面積が増加したため、1988年以降は香川県が日本で一番小さな都道府県となっています。,日本一小さな都道府県,1988年以降、日本で最も面積が小さい都道府県は香川県です。それまでは大阪府が最下位でしたが、埋め立てによる領土拡大で順位が逆転しました。
q_history_005,card_history_005,history,numeric,,スミソニアン国立航空宇宙博物館によると、1903年12月17日のライト・フライヤー初飛行を操縦したのは？,オーヴィル・ライト,国立航空宇宙博物館によると、ライト・フライヤーは1903年12月17日にノースカロライナ州キティホークで初飛行した。最初の飛行はオーヴィルの操縦で12秒間、120フィート（約36m）進んだ。,ライト・フライヤーの初飛行,スミソニアン国立航空宇宙博物館によると、ライト兄弟の1903年型フライヤーはキティホークで初飛行した。最初の飛行はオーヴィルの操縦で12秒間、36m進んだ。
