questionId,cardId,category,question,answer,explanation,sourceTitle,sourcePublisher,sourceUrl,verifiedAt,verificationLevel,reviewStatus,reviewNote
q_geo_001,card_geo_001,nature_geography,世界でいちばん深い湖は？,バイカル湖,"バイカル湖の最大深度は約1,642m。湖の中でいちばん深い湖として知られているよ。",Wikipedia: Lake Baikal,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_002,card_geo_002,nature_geography,日本でいちばん面積が大きい都道府県は？,北海道,日本の都道府県でいちばん面積が大きいのは北海道。面積は約8万3千km²で、日本の国土の約22%を占める。,国土地理院,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_001,card_bio_001,living_things,カンガルーの赤ちゃんは何と呼ばれている？,ジョーイ,カンガルーの赤ちゃんは「ジョーイ」と呼ばれているよ。生まれた時はわずか2cmほどなんだ。,Australian Museum,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_002,card_bio_002,living_things,シロナガスクジラの心臓の重さは約どれくらい？,約180kg,シロナガスクジラの心臓は約180kgもある。小型車1台分くらいの重さなんだ。,National Geographic,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_001,card_his_001,history,江戸時代、庶民の間で流行った「世界一短い手紙」と呼ばれるものは？,五七五,俳句は「五・七・五」の17音で詠む世界一短い詩の形式。江戸時代に庶民文化として大きく広がったんだ。,文化庁 日本文化紹介,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_002,card_his_002,history,奈良の大仏を作るのに使われた主な材料は？,銅,奈良の大仏（東大寺盧舎那仏像）は主に銅で作られている。約500トンの銅が使われたと言われているよ。,東大寺公式サイト,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_001,card_sci_001,science,空気の中でいちばん多い成分は？,窒素,空気の約78%は窒素。酸素は約21%で2番目。二酸化炭素は約0.04%しかないんだ。,気象庁 大気成分,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_002,card_sci_002,science,光の速さは1秒間に地球を何周できる？,約7.5周,光は1秒間に約30万km進む。地球1周は約4万kmだから、1秒で約7.5周できる計算になるよ。,国立天文台,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_001,card_food_001,food,日本でいちばん古い調味料と言われているのは？,塩,塩は日本で最も古くから使われている調味料。縄文時代には海水から作っていたことがわかっているよ。,国立歴史民俗博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_002,card_food_002,food,リンゴの生産量が世界一の国は？,中国,世界のリンゴ生産量の約半分は中国。日本で食べられているリンゴの多くも中国産なんだ。,FAO統計,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_001,card_lang_001,language,「ありがとう」の語源として有力な説は？,「有り難し」が変化した,「ありがとう」は「有り難し（存在することが難しい→めったにない→貴重だ）」という意味の古語が変化したものと言われているよ。,日本国語大辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_002,card_lang_002,language,「ほんのわずかな時間」を表す「瞬き」にまつわる言葉は？,一瞬,「一瞬」は「瞬き（まばたき）する間」という意味。サンスクリット語の「ksana（刹那）」の訳語として作られた漢語だよ。,岩波 仏教辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_001,card_life_001,daily_life,マンホールのふたが丸い理由として正しいのは？,落ちないから,丸いふたは斜めにしても穴に落ちないから。四角いふただと対角線が辺より長いため、落ちる可能性があるんだ。,日本下水道協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_002,card_life_002,daily_life,信号機の色が赤・黄・青の3色なのはなぜ？,光の波長で最も遠くまで届く色だから,赤は波長が長く遠くまで届くため「止まれ」に使われる。青（実際は緑）はその中間。黄色は注意を促す色として選ばれたんだ。,警察庁 交通規制,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_003,card_geo_003,nature_geography,世界でいちばん標高が高い山は？,エベレスト,エベレストの標高は8,848m。世界で最も高い山で、ネパールと中国の国境にあるよ。,USGS,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_003,card_bio_003,living_things,タコの心臓はいくつある？,3つ,タコには心臓が3つある。全身に血液を送る心臓が1つと、エラに血液を送る心臓が2つ。不思議な体の仕組みだね。,National Geographic,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_003,card_his_003,history,日本で初めて肖像画が使われた紙幣が発行された年は？,1885年,日本で初めて肖像画が使われた紙幣は1885年発行の日本銀行券。神功皇后の肖像が描かれていたよ。,日本銀行 貨幣博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_003,card_sci_003,science,絶対零度は何度？,-273.15℃,絶対零度は-273.15℃。この温度では原子の動きが理論上停止するとされているんだ。,国立科学博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_003,card_food_003,food,本わさびの原料は何？,ワサビの根茎,本わさびはアブラナ科の植物「山葵」の根茎をすりおろしたもの。チューブわさびには西洋わさびが使われることが多いよ。,農林水産省,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_003,card_lang_003,language,「サンドイッチ」の名前の由来は？,イギリスの伯爵の名前,サンドイッチは18世紀イギリスの第4代サンドイッチ伯爵に由来すると言われているよ。,オックスフォード英語辞典,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_003,card_life_003,daily_life,消しゴムが鉛筆の字を消せる理由は？,紙の表面ごと黒鉛を削り取るから,消しゴムは摩擦で紙の表面ごと黒鉛を削り取る。消しかすは紙と黒鉛のカスなんだ。,文具メーカー資料,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_geo_004,card_geo_004,nature_geography,世界でいちばん乾燥している砂漠は？,アタカマ砂漠,チリのアタカマ砂漠には400年以上雨が降っていない地域がある。火星に似た環境としても研究されているよ。,NASA Earth Observatory,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_bio_004,card_bio_004,living_things,大人の人間の骨は約何本？,約206本,大人の人間の骨は約206本。赤ちゃんの時は約350本あるが、成長とともに骨が癒合して減っていくよ。,医学書,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_his_004,card_his_004,history,日本にある国宝の現存天守はいくつ？,5つ,姫路城、松本城、犬山城、彦根城、松江城の5つが国宝に指定されている現存天守だよ。,文化庁 国宝・重要文化財,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_sci_004,card_sci_004,science,地球表面のうち海が占める割合は約何%？,約70%,地球表面の約70%は海で覆われている。このため地球は「水の惑星」と呼ばれるんだ。,NASA,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_food_004,card_food_004,food,日本にカレーが伝わったのはいつ頃？,明治時代,日本にカレーが伝わったのは明治時代。イギリス経由で西洋料理として紹介され、日本独自の進化を遂げたよ。,カレー博物館,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_lang_004,card_lang_004,language,日本語で語頭に「ら行」が少ない理由は？,上古日本語では語頭のr音を避ける傾向があったから,上古日本語には語頭に「r」音を避ける傾向があった。これは日本語の特徴の一つだよ。,日本語学研究,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
q_life_004,card_life_004,daily_life,エレベーターの「閉」ボタンを押してもすぐ閉まらないことがある理由は？,安全基準で一定時間開ける必要があるから,多くのエレベーターは安全基準により、閉ボタンを押してもすぐには反応しない設計になっているよ。,日本エレベーター協会,,,,unverified,pending,LEGACY_SOURCE_NOTE_ONLY
